Step: 0; validation loss: 1.383796513080597
Step: 10; loss: 1.6835374236106873
Step: 20; loss: 1.554909771680832
Step: 30; loss: 1.7516204297542572
Step: 40; loss: 1.6227215230464935
Step: 50; loss: 1.1976910412311554
Step: 50; validation loss: 1.384033751487732
Step: 60; loss: 1.7024429589509964
Step: 70; loss: 1.4106873512268066
Step: 80; loss: 1.4218810975551606
Step: 90; loss: 1.414726510643959
Step: 100; loss: 1.6808338314294815
Step: 100; validation loss: 1.381706714630127
Step: 110; loss: 1.4146191239356996
Step: 120; loss: 1.7321368098258971
Step: 130; loss: 1.5767818987369537
Step: 140; loss: 1.6718943536281585
Step: 150; loss: 1.4519405961036682
Step: 150; validation loss: 1.3609151184558868
Step: 160; loss: 1.6389724373817445
Step: 170; loss: 1.769489012658596
Step: 180; loss: 1.4944372475147247
Step: 190; loss: 1.5277702450752257
Step: 200; loss: 1.7421887338161468
Step: 200; validation loss: 1.3520565748214721
Total time: 2037.226572517554 minutes.
